Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start tear down : tearDown,Chrome 79.0.3945.88,,,2020-04-05 20:42:53,2020-04-05 20:42:53,0.104s,PASSED
,,,,,,,
Test Cases/Category/Search with Criteria,Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:43:16,22.008s,PASSED
rand = new java.util.Random(),Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.002s,PASSED
index = rand.nextInt(Integer.valueOf(toString().trim())),Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.003s,PASSED
chkFilter = new com.kms.katalon.core.testobject.TestObject(),Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.007s,PASSED
filterName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.002s,PASSED
filterValue = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.011s,PASSED
apiID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 79.0.3945.88,,,2020-04-05 20:42:54,2020-04-05 20:42:54,0.012s,PASSED
openBrowser(url),Chrome 79.0.3945.88,Open the VOX SUT,,2020-04-05 20:42:54,2020-04-05 20:43:00,6.610s,PASSED
switch (category),Chrome 79.0.3945.88,"Go to Accessories, Groceries, Apparel page",,2020-04-05 20:43:00,2020-04-05 20:43:04,3.510s,PASSED
"chkFilter = utilities.WebUtils.parameterizedFilterLabel(preXpath, index)",Chrome 79.0.3945.88,,,2020-04-05 20:43:04,2020-04-05 20:43:04,0.051s,PASSED
filterValue = trim().toLowerCase(),Chrome 79.0.3945.88,,,2020-04-05 20:43:04,2020-04-05 20:43:05,1.368s,PASSED
